onset_sec,duration_sec,pitch,velocity,track,channel,id
154.65834,0.079166666,66,74,0,1,1583
154.77812,0.08958333,59,70,0,1,1584
154.78021,0.030208332,67,76,0,1,1585
154.78645,0.17083333,55,64,0,1,1586
155.02188,0.08020833,79,63,0,1,1587
155.18333,0.11770833,83,58,0,1,1588
155.33958,0.041666668,81,55,0,1,1589
155.46875,0.040625,79,53,0,1,1590
155.58229,0.16041666,78,68,0,1,1591
155.71042,0.12083333,76,68,0,1,1592
155.83333,0.075,74,76,0,1,1593
155.95625,0.078125,72,79,0,1,1594
156.07812,0.125,71,81,0,1,1595
156.21146,0.08125,69,81,0,1,1596
156.33855,0.08541667,67,76,0,1,1597
156.46771,0.109375,66,77,0,1,1598
156.58855,0.07604167,64,75,0,1,1599
156.71355,0.08125,62,74,0,1,1600
156.84895,0.06875,61,70,0,1,1601
157.00104,1.1895833,60,73,0,1,1602
157.56354,0.1625,45,38,0,1,1603
157.56667,0.09791667,57,49,0,1,1604
158.1177,0.078125,54,49,0,1,1605
158.11874,0.17708333,42,49,0,1,1606
158.25209,0.12291667,62,58,0,1,1607
158.3875,0.11145833,64,59,0,1,1608
158.50209,0.10625,62,66,0,1,1609
158.6198,0.16770834,66,76,0,1,1610
158.62604,0.41770834,50,49,0,1,1611
158.64272,0.071875,38,51,0,1,1612
158.73958,0.114583336,64,68,0,1,1613
158.85417,0.058333334,62,69,0,1,1614
158.96458,0.063541666,60,72,0,1,1615
159.08855,0.04375,43,57,0,1,1616
159.10208,0.91041666,60,65,0,1,1617
159.10312,0.47395834,57,75,0,1,1618
159.23854,0.046875,55,59,0,1,1619
159.35728,0.06979167,54,62,0,1,1620
159.48228,0.07083333,55,66,0,1,1621
159.6,0.084375,54,61,0,1,1622
159.72708,0.06458333,55,62,0,1,1623
159.84584,0.09791667,54,58,0,1,1624
159.975,0.035416666,55,60,0,1,1625
160.08333,0.038541667,43,62,0,1,1626
160.0875,0.034375,55,71,0,1,1627
160.09062,0.035416666,59,72,0,1,1628
160.26562,0.109375,67,66,0,1,1629
160.38126,0.1,66,66,0,1,1630
160.5073,0.036458332,67,67,0,1,1631
160.6198,0.034375,62,66,0,1,1632
160.74896,0.092708334,74,66,0,1,1633
160.87291,0.10104167,73,64,0,1,1634
161.00104,0.036458332,74,60,0,1,1635
161.11041,0.035416666,71,66,0,1,1636
161.24687,0.094791666,79,60,0,1,1637
161.36874,0.08541667,78,60,0,1,1638
161.49896,0.0375,79,63,0,1,1639
161.62709,0.0375,74,58,0,1,1640
161.76875,0.084375,83,54,0,1,1641
161.87709,0.10104167,81,58,0,1,1642
162.00626,0.0625,83,56,0,1,1643
162.16458,0.14479166,79,38,0,1,1644
163.12291,0.4625,67,79,0,1,1645
163.12604,0.40625,62,79,0,1,1646
163.12709,0.048958335,43,66,0,1,1647
163.12709,0.38541666,58,75,0,1,1648
163.25313,0.060416665,55,72,0,1,1649
163.38853,0.067708336,54,72,0,1,1650
163.51875,0.046875,55,72,0,1,1651
163.64062,0.20208333,43,78,0,1,1652
163.91145,0.1125,67,63,0,1,1653
164.05,0.071875,62,72,0,1,1654
164.17291,0.06875,70,78,0,1,1655
164.29897,0.075,67,75,0,1,1656
164.41978,0.114583336,74,77,0,1,1657
164.54271,0.077083334,70,84,0,1,1658
164.65938,0.12291667,79,89,0,1,1659
164.78125,0.0875,74,78,0,1,1660
164.90521,0.078125,70,74,0,1,1661
165.03542,0.036458332,67,71,0,1,1662
165.15938,0.044791665,43,61,0,1,1663
165.16562,0.5,73,89,0,1,1664
165.16875,0.44270834,69,79,0,1,1665
165.17291,0.5864583,64,79,0,1,1666
165.27292,0.071875,55,72,0,1,1667
165.41562,0.08645833,54,70,0,1,1668
165.54062,0.063541666,55,69,0,1,1669
165.66042,0.23020834,43,76,0,1,1670
165.94896,0.140625,69,68,0,1,1671
166.07187,0.07604167,64,74,0,1,1672
166.18959,0.06666667,73,78,0,1,1673
166.30417,0.08020833,69,78,0,1,1674
166.425,0.10625,76,84,0,1,1675
166.55208,0.08645833,73,88,0,1,1676
166.67604,0.12708333,81,94,0,1,1677
166.79478,0.09583333,76,82,0,1,1678
166.925,0.079166666,73,74,0,1,1679
167.04375,0.032291666,69,71,0,1,1680
167.16978,0.4125,74,85,0,1,1681
167.17188,0.303125,69,79,0,1,1682
167.17397,0.059375,41,71,0,1,1683
167.17708,0.56666666,65,78,0,1,1684
167.30624,0.06458333,53,72,0,1,1685
167.42813,0.044791665,52,72,0,1,1686
167.54897,0.045833334,53,70,0,1,1687
167.66562,0.16666667,41,76,0,1,1688
167.97084,0.11770833,69,62,0,1,1689
168.08125,0.071875,65,68,0,1,1690
168.20938,0.06666667,74,80,0,1,1691
168.34062,0.12604167,69,73,0,1,1692
168.46355,0.13125,77,87,0,1,1693
168.59166,0.092708334,74,81,0,1,1694
168.7125,0.1625,81,91,0,1,1695
168.84062,0.11145833,77,82,0,1,1696
168.95938,0.067708336,74,75,0,1,1697
169.07083,0.04375,69,72,0,1,1698
169.21562,0.039583333,41,59,0,1,1699
169.21666,0.51354164,71,81,0,1,1700
169.24687,0.06979167,67,50,0,1,1701
169.25417,0.53541666,62,50,0,1,1702
169.31667,0.32604167,67,34,0,1,1703
169.33542,0.07395833,53,69,0,1,1704
169.45312,0.057291668,52,75,0,1,1705
169.58333,0.052083332,53,68,0,1,1706
169.70209,0.109375,41,67,0,1,1707
170.01042,0.098958336,67,65,0,1,1708
170.13437,0.061458334,62,62,0,1,1709
170.2625,0.035416666,71,62,0,1,1710
170.37604,0.078125,67,66,0,1,1711
170.50626,0.121875,74,72,0,1,1712
170.62187,0.09375,71,69,0,1,1713
170.73854,0.11666667,79,76,0,1,1714
170.8677,0.096875,74,66,0,1,1715
170.98958,0.033333335,71,66,0,1,1716
171.11458,0.036458332,67,64,0,1,1717
171.22812,0.06458333,40,59,0,1,1718
171.23958,0.378125,67,54,0,1,1719
171.24583,0.7083333,64,53,0,1,1720
171.24583,0.46458334,72,62,0,1,1721
171.36354,0.08125,52,57,0,1,1722
171.48854,0.060416665,50,64,0,1,1723
171.63333,0.08229167,52,54,0,1,1724
171.7625,0.12083333,40,59,0,1,1725
172.04897,0.088541664,67,60,0,1,1726
172.1823,0.079166666,64,63,0,1,1727
172.30624,0.046875,72,64,0,1,1728
172.43646,0.059375,67,59,0,1,1729
172.55417,0.15520833,76,71,0,1,1730
172.68541,0.108333334,72,68,0,1,1731
172.80417,0.16354166,79,70,0,1,1732
172.92813,0.094791666,76,66,0,1,1733
173.05,0.058333334,72,66,0,1,1734
173.19583,0.039583333,67,49,0,1,1735
173.37187,0.640625,70,62,0,1,1736
173.37813,0.7395833,62,58,0,1,1737
173.39479,0.048958335,38,39,0,1,1738
173.39688,0.43125,65,37,0,1,1739
173.5552,0.08229167,50,42,0,1,1740
173.67604,0.079166666,49,56,0,1,1741
173.80624,0.1375,50,56,0,1,1742
173.93124,0.1375,38,62,0,1,1743
174.20729,0.109375,65,54,0,1,1744
174.34584,0.071875,62,59,0,1,1745
174.475,0.04375,70,61,0,1,1746
174.59375,0.09791667,65,66,0,1,1747
174.71458,0.121875,74,65,0,1,1748
174.8375,0.10729167,70,65,0,1,1749
174.96562,0.059375,77,65,0,1,1750
175.10312,0.078125,74,73,0,1,1751
175.22604,0.14375,82,86,0,1,1752
175.3677,0.14895834,81,84,0,1,1753
175.53958,0.20104167,80,80,0,1,1754
175.5625,0.15416667,40,47,0,1,1756
175.5625,0.125,52,43,0,1,1755
175.7573,0.14375,83,57,0,1,1757
175.92917,0.075,77,68,0,1,1758
176.04791,0.14479166,83,66,0,1,1759
176.18124,0.10520833,76,73,0,1,1760
176.31354,0.128125,83,76,0,1,1761
176.44167,0.10520833,74,69,0,1,1762
176.46042,0.246875,56,64,0,1,1763
176.56876,0.11354167,83,75,0,1,1764
176.69792,0.54583335,72,70,0,1,1765
176.70209,0.17916666,57,64,0,1,1766
176.81876,0.098958336,60,64,0,1,1767
176.93333,0.14375,55,69,0,1,1768
177.06459,0.08020833,60,68,0,1,1769
177.18959,0.08541667,54,65,0,1,1770
177.19687,0.08958333,81,78,0,1,1771
177.31354,0.078125,60,60,0,1,1772
177.44792,0.042708334,79,67,0,1,1773
177.46458,0.18333334,51,59,0,1,1774
177.48958,0.114583336,81,74,0,1,1775
177.60417,0.06875,60,52,0,1,1776
177.60728,0.044791665,79,75,0,1,1777
177.76562,0.62083334,50,52,0,1,1778
177.76875,0.09375,78,70,0,1,1779
177.89479,0.110416666,81,73,0,1,1780
178.04375,0.092708334,75,60,0,1,1781
178.14688,0.12291667,81,67,0,1,1782
178.28958,0.08541667,74,62,0,1,1783
178.41562,0.10625,81,62,0,1,1784
178.54584,0.065625,72,54,0,1,1785
178.54897,0.28645834,54,53,0,1,1786
178.64272,0.11354167,81,66,0,1,1787
178.7875,0.5208333,70,66,0,1,1788
178.79584,0.21875,55,56,0,1,1789
178.925,0.10104167,58,57,0,1,1790
179.04584,0.114583336,53,59,0,1,1791
179.15416,0.08125,58,57,0,1,1792
179.28958,0.14895834,52,54,0,1,1793
179.29584,0.17395833,79,60,0,1,1794
179.39166,0.06979167,58,52,0,1,1795
179.54478,0.054166667,77,61,0,1,1796
179.54688,0.075,50,55,0,1,1797
179.6198,0.07395833,79,62,0,1,1798
179.68541,0.0875,58,57,0,1,1799
179.69376,0.07395833,77,59,0,1,1800
179.8177,0.084375,76,64,0,1,1801
179.85104,0.78125,48,54,0,1,1802
179.96979,0.10729167,79,63,0,1,1803
180.08229,0.10625,74,64,0,1,1804
180.21875,0.09791667,79,74,0,1,1805
180.35,0.10104167,72,73,0,1,1806
180.47812,0.09791667,79,73,0,1,1807
180.60521,0.11145833,70,73,0,1,1808
180.61041,0.22708334,52,64,0,1,1809
180.72188,0.46145833,79,72,0,1,1810
180.82709,0.060416665,53,61,0,1,1811
180.87291,0.340625,69,64,0,1,1812
180.99583,0.11354167,60,66,0,1,1813
181.10521,0.140625,58,66,0,1,1814
181.23228,0.16458334,57,78,0,1,1815
181.3625,0.19375,58,78,0,1,1816
181.50313,0.15,60,73,0,1,1817
181.6375,0.07604167,62,74,0,1,1818
181.75417,0.039583333,64,67,0,1,1819
181.88333,0.15520833,65,76,0,1,1820
182.02083,0.0625,72,65,0,1,1821
182.14375,0.10104167,81,78,0,1,1822
182.14896,0.07604167,69,67,0,1,1823
182.2448,0.061458334,83,81,0,1,1824
182.26875,0.058333334,72,62,0,1,1825
182.3677,0.040625,84,82,0,1,1826
182.38437,0.175,65,72,0,1,1827
182.51459,0.06979167,72,61,0,1,1828
182.62604,0.06979167,69,68,0,1,1829
182.63646,0.045833334,84,79,0,1,1830
